# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	286
#@/user_id	69f93761-ef11-41a2-8f14-307e889deef6
yi 	以	c=4 d=2.50848 t=243
yi dong dao 	移动到	c=1 d=1 t=107
yi ge 	一个	c=1 d=1 t=192
yi qi 	一起	c=1 d=1 t=67
yi wan cheng 	已完成	c=0 d=0.1 t=128
yi xia 	以下	c=2 d=1.64082 t=151
yi zheng duan 	一整段	c=1 d=1 t=75
ying gai 	应该	c=1 d=1 t=270
yong 	用	c=2 d=1.98511 t=27
yong dao 	用到	c=1 d=1 t=124
yong yu 	用于	c=1 d=1 t=5
you 	有	c=2 d=1.79057 t=99
yu 	与	c=2 d=1.96079 t=197
yu 	于	c=1 d=1 t=145
yu 	鱼	c=0 d=0.1 t=56
yuan 	原	c=1 d=1 t=85
zai 	在	c=5 d=3.72734 t=128
zhan shi 	展示	c=2 d=1.96079 t=198
zhang zhi yu 	张志宇	c=2 d=1.25284 t=276
zhe ge 	这个	c=2 d=1.70117 t=166
zhe shi 	这是	c=2 d=1.70469 t=281
zheng li 	整理	c=2 d=1.98511 t=61
zhi 	只	c=1 d=1 t=262
zhong 	中	c=1 d=1 t=87
zhong guo 	中国	c=1 d=1 t=159
zhong wen 	中文	c=1 d=1 t=163
zhu dong 	主动	c=1 d=1 t=48
zhu shi 	注释	c=2 d=1.80654 t=201
zhu yi 	注意	c=1 d=1 t=69
zhuan cheng 	转成	c=2 d=1.96561 t=154
zhuan jia 	专家	c=1 d=1 t=143
zuo le 	做了	c=1 d=1 t=263
zuo wan 	昨晚	c=1 d=1 t=282
zuo wen 	作文	c=0 d=0.1 t=138
